city_id,label,x,y,is_hub,is_corridor_hub
Абакан,Абакан,900,180,1,0
Армавир,Армавир,-1620,1080,1,0
Астрахань,Астрахань,-900,1350,1,0
Барнаул,Барнаул,450,180,1,0
Белгород,Белгород,-1800,450,1,0
Бийск,Бийск,540,180,1,0
Биробиджан,Биробиджан,1620,180,1,0
Благовещенск,Благовещенск,1530,180,1,0
Будённовск,Будённовск,-1080,1350,1,0
Великий Новгород,Великий Новгород,-1710,-180,1,0
Владивосток,Владивосток,1800,900,1,0
Владикавказ,Владикавказ,-1170,1620,1,0
Владимир,Владимир,-1350,0,1,0
Волгоград,Волгоград,-1170,630,1,0
Вологда,Вологда,-1530,-270,1,0
Воронеж,Воронеж,-1620,450,1,0
Горно-Алтайск,Горно-Алтайск,630,270,1,0
Грозный,Грозный,-1080,1620,1,0
Екатеринбург,Екатеринбург,-270,-180,1,1
Ижевск,Ижевск,-630,-180,1,0
Иркутск,Иркутск,1080,0,1,0
Йошкар-Ола,Йошкар-Ола,-900,-180,1,0
Казань,Казань,-720,0,1,1
Кемерово,Кемерово,630,0,1,0
Керчь,Керчь,-1980,990,1,0
Киров,Киров,-1350,-270,1,0
Краснодар,Краснодар,-1800,990,1,0
Красноярск,Красноярск,900,0,1,1
Кропоткин,Кропоткин,-1620,990,1,0
Курган,Курган,0,180,1,0
Кызыл,Кызыл,900,270,1,0
Магадан,Магадан,2250,-270,1,0
Мариуполь,Мариуполь,-1800,630,1,0
Махачкала,Махачкала,-900,1710,1,0
Медвежьегорск,Медвежьегорск,-1620,-450,1,0
Мелитополь,Мелитополь,-1980,630,1,0
Минеральные Воды,Минеральные Воды,-1530,1260,1,0
Москва,Москва,-1620,0,1,1
Мурманск,Мурманск,-1620,-630,1,0
Набережные Челны,Набережные Челны,-630,0,1,1
Нальчик,Нальчик,-1350,1440,1,0
Невинномысск,Невинномысск,-1620,1170,1,0
Нижневартовск,Нижневартовск,270,-450,1,0
Нижний Новгород,Нижний Новгород,-1170,0,1,0
Новокузнецк,Новокузнецк,630,180,1,0
Новосибирск,Новосибирск,450,0,1,1
Новый Уренгой,Новый Уренгой,0,-630,1,0
Омск,Омск,180,0,1,1
Оренбург,Оренбург,-630,450,1,0
Орск,Орск,-450,450,1,0
Павловская,Павловская,-1620,720,1,0
Пенза,Пенза,-1080,270,1,0
Пермь,Пермь,-630,-270,1,0
Петрозаводск,Петрозаводск,-1800,-270,1,0
Пятигорск,Пятигорск,-1350,1260,1,0
Ростов-на-Дону,Ростов-на-Дону,-1620,630,1,1
Рязань,Рязань,-1350,180,1,0
Санкт-Петербург,Санкт-Петербург,-1800,-180,1,0
Саратов,Саратов,-1080,450,1,0
Свободный,Свободный,1620,0,1,0
Севастополь,Севастополь,-2250,990,1,0
Симферополь,Симферополь,-2070,990,1,0
Сковородино,Сковородино,1530,0,1,0
Сургут,Сургут,0,-450,1,0
Сыктывкар,Сыктывкар,-1170,-450,1,0
Тамбов,Тамбов,-1350,270,1,0
Тверь,Тверь,-1620,-90,1,0
Тольятти,Тольятти,-720,270,1,1
Томск,Томск,630,-180,1,0
Тюмень,Тюмень,0,-180,1,1
Улан-Удэ,Улан-Удэ,1170,0,1,0
Уссурийск,Уссурийск,1800,630,1,0
Уфа,Уфа,-630,180,1,1
Хабаровск,Хабаровск,1800,270,1,0
Ханты-Мансийск,Ханты-Мансийск,-270,-450,1,0
Чебоксары,Чебоксары,-900,0,1,0
Челябинск,Челябинск,-270,180,1,0
Чита,Чита,1350,0,1,0
Элиста,Элиста,-1170,1170,1,0
Якутск,Якутск,1530,-450,1,0
Ярославль,Ярославль,-1530,-180,1,0
Ульяновск,Ульяновск,-720,180,1,0
Калининград,Калининград,-1980,90,1,0
Боготол,Боготол,720,0,1,0
Геленджик,Геленджик,-1890,1080,1,0
Елец,Елец,-1620,270,1,0
Ишим,Ишим,90,-90,1,0
Каменск-Шахтинский,Каменск-Шахтинский,-1620,540,1,0
Курск,Курск,-1800,360,1,0
Магнитогорск,Магнитогорск,-450,270,1,0
Минск,Минск,-1980,0,1,0
Нефтеюганск,Нефтеюганск,0,-360,1,0
Нижний Тагил,Нижний Тагил,-270,-270,1,0
Новороссийск,Новороссийск,-1980,1080,1,0
Орёл,Орёл,-1890,270,1,0
Серпухов,Серпухов,-1800,180,1,0
Смоленск,Смоленск,-1800,0,1,0
Сочи,Сочи,-1800,1440,1,0
Тобольск,Тобольск,0,-270,1,0
Тула,Тула,-1800,270,1,0
Тулун,Тулун,990,0,1,0
Туапсе,Туапсе,-1800,1170,1,0
Усть-Луга,Усть-Луга,-1890,-180,1,0
