Сделок началось,Сделок завершилось,Город,Сумма ставок (старт),Сумма ставок (финиш),Общий объём (ставка),Маршрутов через город,Плотность водительского парка,Средняя ставка (по сделкам города),Рейтинг
757,409,Москва,21137649.0,21528441.0,42666090.0,37,180,36591.84,1.0
109,371,Санкт-Петербург,3098200.0,5992849.0,9091049.0,25,48,18939.69,0.39720275113095665
138,19,Владивосток,21291918.0,1240100.0,22532018.0,20,30,143516.04,0.27708469699962845
82,94,Тольятти,2554700.0,3099500.0,5654200.0,25,49,32126.14,0.249497799664594
45,56,Тюмень,1129000.0,3573750.0,4702750.0,23,36,46561.88,0.19227565052331475
66,74,Екатеринбург,1615800.0,3281198.0,4896998.0,16,41,34978.56,0.18632744356093014
51,64,Новосибирск,2233200.0,2928834.0,5162034.0,13,49,44887.25,0.17621990876111515
33,83,Краснодар,1129500.0,4827500.0,5957000.0,14,38,51353.45,0.17353473238751002
58,64,Красноярск,3195750.0,1476400.0,4672150.0,16,31,38296.31,0.16607836920771957
39,41,Челябинск,1032230.0,1524530.0,2556760.0,19,33,31959.5,0.1533407399013242
28,41,Омск,858000.0,1880500.0,2738500.0,13,30,39688.41,0.12333786753413337
22,43,Уфа,435000.0,1850178.0,2285178.0,13,29,35156.58,0.11878529835380848
29,40,Казань,630300.0,1764678.0,2394978.0,13,26,34709.83,0.11663209621209134
25,28,Иркутск,1542000.0,1741000.0,3283000.0,13,18,61943.4,0.10484886041645197
17,40,Ростов-на-Дону,565000.0,1739000.0,2304000.0,9,25,40421.05,0.0952638540849074
43,26,Владикавказ,1228000.0,775500.0,2003500.0,8,15,29036.23,0.07982982456792066
16,13,Сургут,467000.0,318000.0,785000.0,7,11,27068.97,0.050403277233643504
4,17,Улан-Удэ,370000.0,1864000.0,2234000.0,5,12,106380.95,0.04896056613854034
11,17,Нижний Новгород,320500.0,447750.0,768250.0,6,11,27437.5,0.046524430539623275
19,5,Минеральные Воды,482000.0,60500.0,542500.0,6,13,22604.17,0.045052136224761806
4,7,Хабаровск,701428.0,478000.0,1179428.0,8,7,107220.73,0.04500446688145086
2,7,Чита,196000.0,300334.0,496334.0,7,6,55148.22,0.03572612863636635
8,17,Невинномысск,196000.0,705000.0,901000.0,3,9,36040.0,0.03193410264012604
13,8,Нижневартовск,372000.0,289500.0,661500.0,4,7,31500.0,0.02987575516096961
5,16,Пермь,79000.0,477000.0,556000.0,3,9,26476.19,0.02877598559125018
2,7,Кемерово,85000.0,292000.0,377000.0,4,7,41888.89,0.02445241336844655
4,5,Барнаул,33000.0,102500.0,135500.0,5,4,15055.56,0.02331226736852624
5,5,Саратов,413000.0,189000.0,602000.0,4,5,60200.0,0.023251187810011145
11,0,Астрахань,391500.0,,391500.0,4,5,35590.91,0.021895819080395368
