line_id,variant_id,seq,city_id
EW-1,1,1,Владивосток
EW-1,1,2,Уссурийск
EW-1,1,3,Хабаровск
EW-1,1,4,Биробиджан
EW-1,1,5,Благовещенск
EW-1,1,6,Свободный
EW-1,1,7,Сковородино
EW-1,1,8,Чита
EW-1,1,9,Улан-Удэ
EW-1,1,10,Иркутск
EW-1,1,11,Тулун
EW-1,1,12,Красноярск
EW-1,1,13,Боготол
EW-1,1,14,Кемерово
EW-1,1,15,Новосибирск
EW-1,1,16,Омск
EW-1,1,17,Ишим
EW-1,1,18,Тюмень
EW-1,1,19,Екатеринбург
EW-1,1,20,Набережные Челны
EW-1,1,21,Казань
EW-1,1,22,Чебоксары
EW-1,1,23,Нижний Новгород
EW-1,1,24,Владимир
EW-1,1,25,Москва
EW-2,1,1,Владивосток
EW-2,1,2,Уссурийск
EW-2,1,3,Хабаровск
EW-2,1,4,Биробиджан
EW-2,1,5,Благовещенск
EW-2,1,6,Свободный
EW-2,1,7,Сковородино
EW-2,1,8,Чита
EW-2,1,9,Улан-Удэ
EW-2,1,10,Иркутск
EW-2,1,11,Тулун
EW-2,1,12,Красноярск
EW-2,1,13,Боготол
EW-2,1,14,Кемерово
EW-2,1,15,Новосибирск
EW-2,1,16,Омск
EW-2,1,17,Курган
EW-2,1,18,Челябинск
EW-2,1,19,Уфа
EW-2,1,20,Набережные Челны
EW-2,1,21,Казань
EW-2,1,22,Чебоксары
EW-2,1,23,Нижний Новгород
EW-2,1,24,Владимир
EW-2,1,25,Москва
KHM-SRG,1,1,Ханты-Мансийск
KHM-SRG,1,2,Сургут
NRG-SRG,1,1,Новый Уренгой
NRG-SRG,1,2,Сургут
NVV-SRG,1,1,Нижневартовск
NVV-SRG,1,2,Сургут
SRG-MSK1,1,1,Сургут
SRG-MSK1,1,2,Нефтеюганск
SRG-MSK1,1,3,Тобольск
SRG-MSK1,1,4,Тюмень
SRG-MSK1,1,5,Екатеринбург
SRG-MSK1,1,6,Пермь
SRG-MSK1,1,7,Ижевск
SRG-MSK1,1,8,Набережные Челны
SRG-MSK1,1,9,Казань
SRG-MSK1,1,10,Чебоксары
SRG-MSK1,1,11,Нижний Новгород
SRG-MSK1,1,12,Владимир
SRG-MSK1,1,13,Москва
SRG-MSK2,1,1,Сургут
SRG-MSK2,1,2,Нефтеюганск
SRG-MSK2,1,3,Тобольск
SRG-MSK2,1,4,Тюмень
SRG-MSK2,1,5,Екатеринбург
SRG-MSK2,1,6,Пермь
