Маршрут (A — B),Рейтинг,Сделок,Поездок (строк),Водителей (уникальных),Сумма ставок,Средняя ставка
Москва — Санкт-Петербург,0.8232,372,372,44,5156699,13862.09
Владивосток — Москва,0.5236,79,79,21,12559812,158984.96
Москва — Новосибирск,0.2966,45,45,29,2253034,50067.42
Екатеринбург — Москва,0.2862,52,52,28,1794498,34509.58
Москва — Челябинск,0.255,32,32,29,1096050,34251.56
Краснодар — Москва,0.2219,39,39,23,1149000,29461.54
Красноярск — Москва,0.1779,27,27,17,1600000,59259.26
Москва — Тюмень,0.1743,25,25,18,1250000,50000.0
Иркутск — Москва,0.1734,27,27,15,1996000,73925.93
Москва — Омск,0.1628,28,28,16,1216000,43428.57
Казань — Москва,0.1538,27,27,17,591600,21911.11
Москва — Москва,0.153,72,72,10,572400,7950.0
Москва — Уфа,0.1458,24,24,16,685000,28541.67
Екатеринбург — Тольятти,0.1418,25,25,16,471700,18868.0
Москва — Улан-Удэ,0.1414,17,17,12,1985000,116764.71
Екатеринбург — Красноярск,0.103,15,15,11,761000,50733.33
Владикавказ — Москва,0.0976,26,26,8,912500,35096.15
Москва — Пермь,0.0921,17,17,10,505000,29705.88
Владивосток — Тюмень,0.0837,13,13,5,1793750,137980.77
Владивосток — Краснодар,0.0791,11,11,4,1985000,180454.55
Москва — Ростов-на-Дону,0.077,13,13,9,343500,26423.08
Краснодар — Тольятти,0.0743,19,19,7,546000,28736.84
Тольятти — Челябинск,0.0693,10,10,9,157000,15700.0
Владивосток — Тольятти,0.0685,7,7,6,1135000,162142.86
Курган — Москва,0.0649,8,8,8,357000,44625.0
Владикавказ — Тольятти,0.0639,17,17,6,494000,29058.82
Москва — Тольятти,0.0632,14,14,7,305000,21785.71
Москва — Сургут,0.0585,9,9,7,337000,37444.44
Ростов-на-Дону — Тольятти,0.0574,10,10,7,245000,24500.0
Москва — Невинномысск,0.0563,12,12,6,398000,33166.67
Москва — Нижний Новгород,0.0558,11,11,7,133000,12090.91
Нальчик — Тольятти,0.053,10,10,6,351000,35100.0
Тюмень — Уфа,0.0508,7,7,7,105500,15071.43
Тольятти — Тюмень,0.0443,7,7,6,124000,17714.29
Владивосток — Казань,0.0443,5,5,4,797678,159535.6
Минск — Москва,0.0438,12,12,4,460000,38333.33
Воронеж — Москва,0.0388,8,8,5,138000,17250.0
Краснодар — Новосибирск,0.0384,8,8,4,416000,52000.0
Абакан — Красноярск,0.0375,26,26,1,441400,16976.92
Краснодар — Сочи,0.0354,9,9,3,538000,59777.78
Минеральные Воды — Москва,0.0349,9,9,4,225000,25000.0
Москва — Хабаровск,0.0345,4,4,4,431428,107857.0
Сургут — Тюмень,0.0336,9,9,4,169000,18777.78
Владивосток — Новосибирск,0.0336,4,4,4,395000,98750.0
Владивосток — Екатеринбург,0.0325,4,4,3,640000,160000.0
Новосибирск — Ростов-на-Дону,0.0325,8,8,3,459500,57437.5
Москва — Набережные Челны,0.0314,7,7,4,168001,24000.14
Москва — Свободный,0.0303,4,4,4,257000,64250.0
Нижневартовск — Тюмень,0.0303,10,10,3,277000,27700.0
